"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"HD-MTL: Hierarchical Deep Multi-Task Learning for Large-Scale Visual Recognition","J. Fan; T. Zhao; Z. Kuang; Y. Zheng; J. Zhang; J. Yu; J. Peng","Department of Computer Science, The University of North Carolina at Charlotte, Charlotte, NC, USA; Department of Computer Science, The University of North Carolina at Charlotte, Charlotte, NC, USA; College of Computer and Communication Engineering, China University of Petroleum, Qingdao, China; School of Electronic Engineering, Xidian University, Xi’an, China; The University of North Carolina at Charlotte, Charlotte, NC, USA; The University of North Carolina at Charlotte, Charlotte, NC, USA; School of Information Science and Technology, Northwest University, Xi’an, China","IEEE Transactions on Image Processing","","2017","26","4","1923","1938","In this paper, a hierarchical deep multi-task learning (HD-MTL) algorithm is developed to support large-scale visual recognition (e.g., recognizing thousands or even tens of thousands of atomic object classes automatically). To achieve more effective accomplishment of the coarse-to-fine tasks for hierarchical visual recognition, multiple sets of deep features are first extracted from the different layers of deep convolutional neural networks (deep CNNs). A visual tree is then learned by assigning the visually-similar atomic object classes with similar learning complexities into the same group, and it can provide a good environment for identifying the inter-related learning tasks automatically. By leveraging the inter-task relatedness (inter-class similarities) to learn more discriminative group-specific deep representations, our deep multi-task learning algorithm can achieve the global optimum easily and obtain more discriminative node classifiers for distinguishing the visually-similar atomic object classes (in the same group) effectively. Our HD-MTL algorithm can control the inter-level error propagation effectively by using an end-to-end approach for jointly learning more representative deep CNNs (for image representation) and more discriminative tree classifier (for large-scale visual recognition) and updating them simultaneously. Our incremental deep learning algorithms can effectively adapt both the deep CNNs and the tree classifier to the new training images and the new object classes. Our experimental results have demonstrated that our HD-MTL algorithm can achieve very competitive results on both the accuracy rates and the computational efficiency for large-scale visual recognition.","","","10.1109/TIP.2017.2667405","National High-Technology Program of China (863 Program); Program for Changjiang Scholars and Innovative Research Team in University; Program of Shaanxi Province Innovative Research Team; National Science Foundation; National Natural Science Foundation of China; Zhejiang Provincial Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7849143","Large-scale visual recognition;hierarchical deep multi-task learning (HD-MTL);group-specific deep representations;incremental deep learning;tree classifier;soft prediction","Visualization;Training;Feature extraction;Image recognition;Machine learning;Atomic layer deposition;Image representation","feature extraction;image classification;image recognition;learning (artificial intelligence);neural nets;trees (mathematics)","HD-MTL;hierarchical deep multitask learning algorithm;large-scale visual recognition;deep feature extraction;deep convolutional neural networks;deep CNN;visual tree;inter-related learning tasks;group-specific deep representations;incremental deep learning algorithms","","15","89","","","","","IEEE","IEEE Journals"
"State-of-the-Art Deep Learning: Evolving Machine Intelligence Toward Tomorrow’s Intelligent Network Traffic Control Systems","Z. M. Fadlullah; F. Tang; B. Mao; N. Kato; O. Akashi; T. Inoue; K. Mizutani","Graduate School of Information Sciences, Tohoku University, Sendai, Japan; Graduate School of Information Sciences, Tohoku University, Sendai, Japan; Graduate School of Information Sciences, Tohoku University, Sendai, Japan; Graduate School of Information Sciences, Tohoku University, Sendai, Japan; Nippon Telegraph and Telephone Corporation, Network Innovation Laboratories, Kanagawa, Japan; Nippon Telegraph and Telephone Corporation, Network Innovation Laboratories, Kanagawa, Japan; Nippon Telegraph and Telephone Corporation, Network Innovation Laboratories, Kanagawa, Japan","IEEE Communications Surveys & Tutorials","","2017","19","4","2432","2455","Currently, the network traffic control systems are mainly composed of the Internet core and wired/wireless heterogeneous backbone networks. Recently, these packet-switched systems are experiencing an explosive network traffic growth due to the rapid development of communication technologies. The existing network policies are not sophisticated enough to cope with the continually varying network conditions arising from the tremendous traffic growth. Deep learning, with the recent breakthrough in the machine learning/intelligence area, appears to be a viable approach for the network operators to configure and manage their networks in a more intelligent and autonomous fashion. While deep learning has received a significant research attention in a number of other domains such as computer vision, speech recognition, robotics, and so forth, its applications in network traffic control systems are relatively recent and garnered rather little attention. In this paper, we address this point and indicate the necessity of surveying the scattered works on deep learning applications for various network traffic control aspects. In this vein, we provide an overview of the state-of-the-art deep learning architectures and algorithms relevant to the network traffic control systems. Also, we discuss the deep learning enablers for network systems. In addition, we discuss, in detail, a new use case, i.e., deep learning based intelligent routing. We demonstrate the effectiveness of the deep learning-based routing approach in contrast with the conventional routing strategy. Furthermore, we discuss a number of open research issues, which researchers may find useful in the future.","","","10.1109/COMST.2017.2707140","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7932863","Machine learning;machine intelligence;artificial neural network;deep learning;deep belief system;network traffic control;routing","Machine learning;Computer architecture;Control systems;Routing;Learning (artificial intelligence);Biological neural networks;Machine intelligence","intelligent networks;Internet;learning (artificial intelligence);radio networks;telecommunication congestion control;telecommunication network management;telecommunication network routing;telecommunication traffic;traffic control","network traffic control systems;machine learning-intelligence area;network traffic growth;wired-wireless heterogeneous backbone networks;traffic growth;network policies;network systems;deep learning enablers;deep learning architectures;network traffic control aspects;deep learning applications;network operators;continually varying network conditions","","123","260","","","","","IEEE","IEEE Journals"
"Discriminative Deep Metric Learning for Face and Kinship Verification","J. Lu; J. Hu; Y. Tan","Department of Automation, State Key Laboratory of Intelligent Technologies and Systems and Tsinghua National Laboratory for Information Science and Technology (TNList), Tsinghua University, Beijing, China; School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore; School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore","IEEE Transactions on Image Processing","","2017","26","9","4269","4282","This paper presents a new discriminative deep metric learning (DDML) method for face and kinship verification in wild conditions. While metric learning has achieved reasonably good performance in face and kinship verification, most existing metric learning methods aim to learn a single Mahalanobis distance metric to maximize the inter-class variations and minimize the intra-class variations, which cannot capture the nonlinear manifold where face images usually lie on. To address this, we propose a DDML method to train a deep neural network to learn a set of hierarchical nonlinear transformations to project face pairs into the same latent feature space, under which the distance of each positive pair is reduced and that of each negative pair is enlarged. To better use the commonality of multiple feature descriptors to make all the features more robust for face and kinship verification, we develop a discriminative deep multi-metric learning method to jointly learn multiple neural networks, under which the correlation of different features of each sample is maximized, and the distance of each positive pair is reduced and that of each negative pair is enlarged. Extensive experimental results show that our proposed methods achieve the acceptable results in both face and kinship verification.","","","10.1109/TIP.2017.2717505","National Natural Science Foundation of China; National 1000 Young Talents Plan Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7953665","Face verification;kinship verification;deep learning;deep metric learning;multi-feature learning","Face;Measurement;Neural networks;Machine learning;Feature extraction;Learning systems;Training","face recognition;learning (artificial intelligence);neural nets","correlation;multiple neural networks;multiple feature descriptors;latent feature space;project face pairs;deep neural network;hierarchical nonlinear transformations;face images;interclass variations;Mahalanobis distance metric;DDML method;wild conditions;face verification;kinship verification;discriminative deep metric learning","Algorithms;Biometric Identification;Face;Family;Humans;Machine Learning;Neural Networks (Computer);Pattern Recognition, Automated","26","68","","","","","IEEE","IEEE Journals"
"Deep Direct Reinforcement Learning for Financial Signal Representation and Trading","Y. Deng; F. Bao; Y. Kong; Z. Ren; Q. Dai","Automation Department, Tsinghua University, Beijing, China; Automation Department, Tsinghua University, Beijing, China; School of Computer Science and Engineering, Southeast University, Nanjing, China; Automation Department, Tsinghua University, Beijing, China; Automation Department, Tsinghua University, Beijing, China","IEEE Transactions on Neural Networks and Learning Systems","","2017","28","3","653","664","Can we train the computer to beat experienced traders for financial assert trading? In this paper, we try to address this challenge by introducing a recurrent deep neural network (NN) for real-time financial signal representation and trading. Our model is inspired by two biological-related learning concepts of deep learning (DL) and reinforcement learning (RL). In the framework, the DL part automatically senses the dynamic market condition for informative feature learning. Then, the RL module interacts with deep representations and makes trading decisions to accumulate the ultimate rewards in an unknown environment. The learning system is implemented in a complex NN that exhibits both the deep and recurrent structures. Hence, we propose a task-aware backpropagation through time method to cope with the gradient vanishing issue in deep training. The robustness of the neural system is verified on both the stock and the commodity future markets under broad testing conditions.","","","10.1109/TNNLS.2016.2522401","Project of the National Natural Science Foundation of China; National Science Foundation of Jiangsu Province, China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7407387","Deep learning (DL);financial signal processing;neural network (NN) for finance;reinforcement learning (RL)","Training;Robustness;Learning (artificial intelligence);Artificial neural networks;Feature extraction;Optimization;Signal representation","backpropagation;decision making;feedforward neural nets;financial data processing;recurrent neural nets;stock markets","deep direct reinforcement learning;financial assert trading;recurrent deep neural network;real-time financial signal representation;biological-related learning concepts;dynamic market condition;informative feature learning;deep representations;trading decision making;complex NN;task-aware backpropagation;deep training;neural system robustness","","81","44","","","","","IEEE","IEEE Journals"
"Airline Passenger Profiling Based on Fuzzy Deep Machine Learning","Y. Zheng; W. Sheng; X. Sun; S. Chen","College of Computer Science and Technology, Zhejiang University of Technology, Hangzhou, China; College of Computer Science and Technology, Zhejiang University of Technology, Hangzhou, China; School of Computer and Software, Nanjing University of Information Science and Technology, Nanjing, China; College of Computer Science and Technology, Zhejiang University of Technology, Hangzhou, China","IEEE Transactions on Neural Networks and Learning Systems","","2017","28","12","2911","2923","Passenger profiling plays a vital part of commercial aviation security, but classical methods become very inefficient in handling the rapidly increasing amounts of electronic records. This paper proposes a deep learning approach to passenger profiling. The center of our approach is a Pythagorean fuzzy deep Boltzmann machine (PFDBM), whose parameters are expressed by Pythagorean fuzzy numbers such that each neuron can learn how a feature affects the production of the correct output from both the positive and negative sides. We propose a hybrid algorithm combining a gradient-based method and an evolutionary algorithm for training the PFDBM. Based on the novel learning model, we develop a deep neural network (DNN) for classifying normal passengers and potential attackers, and further develop an integrated DNN for identifying group attackers whose individual features are insufficient to reveal the abnormality. Experiments on data sets from Air China show that our approach provides much higher learning ability and classification accuracy than existing profilers. It is expected that the fuzzy deep learning approach can be adapted for a variety of complex pattern analysis tasks.","","","10.1109/TNNLS.2016.2609437","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7577870","Biogeography-based optimization (BBO);deep Boltzmann machine (DBM);deep learning;evolutionary neural networks;passenger profiling;pythagorean fuzzy set (PFS)","Terrorism;Machine learning;Inspection;Atmospheric modeling;Fuzzy sets;Airports","Boltzmann machines;evolutionary computation;fuzzy set theory;learning (artificial intelligence);neural nets;pattern classification;travel industry","evolutionary algorithm;PFDBM;deep neural network;gradient-based method;Pythagorean fuzzy numbers;Pythagorean fuzzy deep Boltzmann machine;electronic records;commercial aviation security;fuzzy deep machine learning;airline passenger profiling;classification accuracy","","6","74","","","","","IEEE","IEEE Journals"
"Cost-Effective Active Learning for Deep Image Classification","K. Wang; D. Zhang; Y. Li; R. Zhang; L. Lin","School of Data and Computer Science, Sun Yat-sen University, Guangzhou, China; School of Data and Computer Science, Sun Yat-sen University, Guangzhou, China; Guangzhou University, Guangzhou, China; School of Data and Computer Science, Sun Yat-sen University, Guangzhou, China; School of Data and Computer Science, Sun Yat-sen University, Guangzhou, China","IEEE Transactions on Circuits and Systems for Video Technology","","2017","27","12","2591","2600","Recent successes in learning-based image classification, however, heavily rely on the large number of annotated training samples, which may require considerable human effort. In this paper, we propose a novel active learning (AL) framework, which is capable of building a competitive classifier with optimal feature representation via a limited amount of labeled training instances in an incremental learning manner. Our approach advances the existing AL methods in two aspects. First, we incorporate deep convolutional neural networks into AL. Through the properly designed framework, the feature representation and the classifier can be simultaneously updated with progressively annotated informative samples. Second, we present a cost-effective sample selection strategy to improve the classification performance with less manual annotations. Unlike traditional methods focusing on only the uncertain samples of low prediction confidence, we especially discover the large amount of high-confidence samples from the unlabeled set for feature learning. Specifically, these high-confidence samples are automatically selected and iteratively assigned pseudolabels. We thus call our framework cost-effective AL (CEAL) standing for the two advantages. Extensive experiments demonstrate that the proposed CEAL framework can achieve promising results on two challenging image classification data sets, i.e., face recognition on the cross-age celebrity face recognition data set database and object categorization on Caltech-256.","","","10.1109/TCSVT.2016.2589879","National Natural Science Foundation of China; State Key Development Program; CCF-Tencent Open Fund; Special Program through the Applied Research on Super Computation of the Natural Science Foundation of China–Guangdong Joint Fund (the second phase); NVIDIA Corporation through the Tesla K40 GPU; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7508942","Active learning (AL);deep neural nets;image classification;incremental learning","Machine learning;Uncertainty;Measurement uncertainty;Learning systems;Neural networks;Visualization","face recognition;feature extraction;image classification;image representation;image retrieval;learning (artificial intelligence);neural nets;pattern classification","cost-effective active learning;deep image classification;annotated training samples;active learning framework;competitive classifier;optimal feature representation;labeled training instances;incremental learning manner;deep convolutional neural networks;cost-effective sample selection strategy;classification performance;manual annotations;uncertain samples;low prediction confidence;high-confidence samples;feature learning;framework cost-effective AL;CEAL framework;AL methods;image classification data sets;cross-age celebrity face recognition data set database;object categorization;Caltech-256","","33","42","","","","","IEEE","IEEE Journals"
"System Design Perspective for Human-Level Agents Using Deep Reinforcement Learning: A Survey","N. D. Nguyen; T. Nguyen; S. Nahavandi","Institute for Intelligent Systems Research and Innovation, Deakin University, Waurn Ponds Campus, Geelong, VIC, Australia; Institute for Intelligent Systems Research and Innovation, Deakin University, Waurn Ponds Campus, Geelong, VIC, Australia; Institute for Intelligent Systems Research and Innovation, Deakin University, Waurn Ponds Campus, Geelong, VIC, Australia","IEEE Access","","2017","5","","27091","27102","Reinforcement learning (RL) has distinguished itself as a prominent learning method to augment the efficacy of autonomous systems. Recent advances in deep learning studies have complemented existing RL methods and led to a crucial breakthrough in the effort of applying RL to automation and robotics. Artificial agents based on deep RL can take selective and intelligent actions comparable with those of a human to maximize the feedback reward from the interactive environment. In this paper, we survey recent developments in the literature regarding deep RL methods for building human-level agents. As a result, prominent studies that involve modeling every aspect of a human-level agent will be examined. We also provide an overview of constructing a framework for prospective autonomous systems. Moreover, various toolkits and frameworks are suggested to facilitate the development of deep RL methods. Finally, we open a discussion that potentially raises a range of future research directions in deep RL.","","","10.1109/ACCESS.2017.2777827","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8119919","Deep learning;human-level agents;reinforcement learning;robotics;survey;system design","Machine learning;Robots;Learning systems;Learning (artificial intelligence);Mathematical model;Monte Carlo methods","learning (artificial intelligence)","system design perspective;human-level agent;deep reinforcement learning;artificial agents;deep RL methods;autonomous systems;intelligent actions","","15","75","","","","","IEEE","IEEE Journals"
"Deep Learning for Health Informatics","D. Ravì; C. Wong; F. Deligianni; M. Berthelot; J. Andreu-Perez; B. Lo; G. Yang","Hamlyn Centre, Imperial College London, London, U.K.; Hamlyn Centre, Imperial College London, London, U.K.; Hamlyn Centre, Imperial College London, London, U.K.; Hamlyn Centre, Imperial College London, London, U.K.; Hamlyn Centre, Imperial College London, London, U.K.; Hamlyn Centre, Imperial College London, London, U.K.; Hamlyn Centre, Imperial College London, London, U.K.","IEEE Journal of Biomedical and Health Informatics","","2017","21","1","4","21","With a massive influx of multimodality data, the role of data analytics in health informatics has grown rapidly in the last decade. This has also prompted increasing interests in the generation of analytical, data driven models based on machine learning in health informatics. Deep learning, a technique with its foundation in artificial neural networks, is emerging in recent years as a powerful tool for machine learning, promising to reshape the future of artificial intelligence. Rapid improvements in computational power, fast data storage, and parallelization have also contributed to the rapid uptake of the technology in addition to its predictive power and ability to generate automatically optimized high-level features and semantic interpretation from the input data. This article presents a comprehensive up-to-date review of research employing deep learning in health informatics, providing a critical analysis of the relative merit, and potential pitfalls of the technique as well as its future outlook. The paper mainly focuses on key applications of deep learning in the fields of translational bioinformatics, medical imaging, pervasive sensing, medical informatics, and public health.","","","10.1109/JBHI.2016.2636665","EPSRC Smart Sensing for Surgery; EPSRC-NIHR HTC Partnership Award; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7801947","Bioinformatics;deep learning;health informatics;machine learning;medical imaging;public health;wearable devices","Machine learning;Informatics;Training;Biomedical imaging;Neurons;Artificial neural networks;Biological neural networks","bioinformatics;learning (artificial intelligence);medical information systems;neural nets","deep learning;health informatics;multimodality data;machine learning;artificial intelligence;parallelization;translational bioinformatics;medical imaging;pervasive sensing;medical informatics;public health","Computational Biology;Humans;Machine Learning;Medical Informatics;Monitoring, Ambulatory;Public Health","269","145","CCBY","","","","IEEE","IEEE Journals"
"Active Deep Learning for Classification of Hyperspectral Images","P. Liu; H. Zhang; K. B. Eom","Institute of Remote Sensing and Digital Earth, Chinese Academy of Sciences, Beijing, China; Laboratory of Brain and Cognition, National Institute of Mental Health, Bethesda, MD, USA; Department of Electrical and Computer Engineering, George Washington University, Washington, DC, USA","IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","","2017","10","2","712","724","Active deep learning classification of hyperspectral images is considered in this paper. Deep learning has achieved success in many applications, but good-quality labeled samples are needed to construct a deep learning network. It is expensive getting good labeled samples in hyperspectral images for remote sensing applications. An active learning algorithm based on a weighted incremental dictionary learning is proposed for such applications. The proposed algorithm selects training samples that maximize two selection criteria, namely representative and uncertainty. This algorithm trains a deep network efficiently by actively selecting training samples at each iteration. The proposed algorithm is applied for the classification of hyperspectral images, and compared with other classification algorithms employing active learning. It is shown that the proposed algorithm is efficient and effective in classifying hyperspectral images.","","","10.1109/JSTARS.2016.2598859","NSFC; RADI Director Youth foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7568999","Active learning;deep learning;remote sensing classification;sparse representation","Training;Uncertainty;Machine learning;Hyperspectral imaging;Tuning","hyperspectral imaging;image classification;learning (artificial intelligence)","active deep learning;hyperspectral image classification;deep learning network;remote sensing applications;weighted incremental dictionary learning;selection criteria;representative criteria;uncertainty criteria;classification algorithms","","39","25","","","","","IEEE","IEEE Journals"
"Nonlinear Deep Kernel Learning for Image Annotation","M. Jiu; H. Sahbi","LTCI, CNRS, Télécom ParisTech, Université Paris-Saclay, Paris, France; CNRS, LIP6 UPMC Sorbonne Universités, Paris, France","IEEE Transactions on Image Processing","","2017","26","4","1820","1832","Multiple kernel learning (MKL) is a widely used technique for kernel design. Its principle consists in learning, for a given support vector classifier, the most suitable convex (or sparse) linear combination of standard elementary kernels. However, these combinations are shallow and often powerless to capture the actual similarity between highly semantic data, especially for challenging classification tasks, such as image annotation. In this paper, we redefine multiple kernels using deep multi-layer networks. In this new contribution, a deep multiple kernel is recursively defined as a multi-layered combination of nonlinear activation functions, each one involves a combination of several elementary or intermediate kernels, and results into a positive semi-definite deep kernel. We propose four different frameworks in order to learn the weights of these networks: supervised, unsupervised, kernel-based semi-supervised, and Laplacian-based semi-supervised. When plugged into support vector machines, the resulting deep kernel networks show clear gain, compared with several shallow kernels for the task of image annotation. Extensive experiments and analysis on the challenging ImageCLEF photo annotation benchmark, the COREL5k database, and the Banana data set validate the effectiveness of the proposed method.","","","10.1109/TIP.2017.2666038","Research Agency Agence Nationale de la Recherche under the MLVIS Project; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7847355","Multiple kernel learning;image annotation;deep learning;semi-supervised learning","Kernel;Visualization;Standards;Semantics;Training;Support vector machines;Feature extraction","image retrieval;support vector machines;unsupervised learning","nonlinear deep kernel learning;image annotation;support vector classifier;deep multilayer networks;positive semi-definite deep kernel;Laplacian-based semi-supervised learning;unsupervised learning;supervised learning;kernel-based semi-supervised learning;ImageCLEF photo annotation benchmark;COREL5k database;Banana data set","","21","78","","","","","IEEE","IEEE Journals"
